country,counts,id,month,year
CH,1,299,10,2014
DZ,2,80,10,2014
AD,5,80,10,2014
CH,1,80,11,2014
TN,5,80,11,2014
AT,1,80,11,2014
DZ,4,80,11,2014
TV,3,80,11,2014
CA,1,80,11,2014
ZA,2,80,11,2014
RU,1,80,11,2014
ES,1,80,11,2014
IT,1,80,11,2014
FR,1,80,11,2014
GB,1,80,11,2014
AU,1,80,12,2014
DZ,1,80,12,2014
IT,1,80,1,2015
ZA,1,80,1,2015
FR,2,80,1,2015
FR,1,80,2,2015
DE,1,80,2,2015
AU,1,80,2,2015
CS,1,80,2,2015
DZ,1,80,3,2015
GB,1,80,3,2015
ES,1,80,3,2015
CA,1,80,4,2015
DZ,3,80,4,2015
AO,9,80,4,2015
FR,1,80,4,2015
DZ,1,80,5,2015
US,1,80,5,2015
BE,1,80,5,2015
DE,1,80,5,2015
FR,4,80,6,2015
AR,1,80,6,2015
IT,2,80,6,2015
IT,2,80,7,2015
CA,3,80,7,2015
FR,2,80,7,2015
ES,1,80,7,2015
DZ,1,80,8,2015
AU,1,80,9,2015
FR,1,80,9,2015
FR,3,80,10,2015
FR,1,80,11,2015
FR,3,80,1,2016
BE,1,80,1,2016
FR,2,80,2,2016
FR,3,80,3,2016
BE,2,80,3,2016
US,1,80,4,2016
BE,1,80,4,2016
ES,1,80,5,2016
EC,1,80,5,2016
AD,1,80,6,2016
ZA,1,80,6,2016
FR,3,80,6,2016
DE,1,80,6,2016
TR,1,80,6,2016
NL,1,80,12,2016
IT,2,80,1,2017
FR,1,80,2,2017
FR,1,80,3,2017
NL,1,80,3,2017
CA,2,80,3,2017
FR,1,80,4,2017
PE,1,80,5,2017
US,2,80,7,2017
BE,1,80,7,2017
FR,2,80,7,2017
NL,1,80,7,2017
FR,1,80,8,2017
FR,1,80,10,2017
AD,1,60,10,2014
TN,3,60,11,2014
AF,2,60,11,2014
TV,10,60,11,2014
AR,1,60,11,2014
ER,1,60,11,2014
CA,2,60,11,2014
DE,1,60,11,2014
AD,3,60,11,2014
AR,1,60,12,2014
UA,1,60,1,2015
DZ,1,60,4,2015
AO,2,60,4,2015
AD,1,60,4,2015
AF,1,60,5,2015
CS,1,60,8,2015
AD,1,60,5,2016
DZ,1,60,6,2016
FR,1,60,7,2016
AR,1,60,3,2017
IT,1,60,8,2017
TN,1,60,11,2017
IT,1,299,10,2014
DZ,1,299,12,2014
US,3,299,12,2014
AR,1,299,12,2014
US,1,299,1,2015
AO,1,299,2,2015
AD,1,299,6,2015
US,1,299,10,2015
US,1,299,1,2016
US,1,299,3,2016
IT,1,299,9,2016
US,2,299,12,2016
US,2,299,4,2017
TN,1,92,11,2014
BE,1,92,11,2014
MT,1,92,1,2015
PL,1,92,2,2015
US,1,92,2,2015
DZ,1,92,2,2015
GB,1,92,5,2015
MT,1,92,6,2015
MT,1,92,7,2015
AU,1,92,12,2016
UY,1,92,2,2017
IT,2,92,2,2017
FR,1,92,6,2017
IT,2,92,7,2017
MT,1,92,8,2017
AR,1,301,11,2014
ZA,1,301,11,2014
RU,1,301,11,2014
US,2,301,11,2014
CA,1,301,11,2014
US,2,301,12,2014
ES,1,301,12,2014
TN,1,301,12,2014
NO,1,301,12,2014
US,3,301,1,2015
IT,1,301,1,2015
US,3,301,2,2015
PA,2,301,3,2015
US,2,301,3,2015
GB,1,301,4,2015
IT,1,301,4,2015
US,1,301,4,2015
US,1,301,5,2015
PE,1,301,6,2015
US,1,301,6,2015
BR,1,301,7,2015
SI,1,301,7,2015
DO,1,301,7,2015
AT,4,301,7,2015
GB,1,301,8,2015
TR,1,301,9,2015
GR,1,301,9,2015
CH,1,301,9,2015
GB,5,301,9,2015
US,10,301,9,2015
BE,1,301,9,2015
CH,1,301,10,2015
EC,1,301,10,2015
CA,2,301,10,2015
GB,5,301,10,2015
US,6,301,10,2015
RU,1,301,10,2015
BE,1,301,11,2015
US,5,301,11,2015
GB,4,301,11,2015
DK,2,301,11,2015
CA,1,301,11,2015
NL,1,301,11,2015
US,3,301,12,2015
FI,1,301,12,2015
CL,1,301,12,2015
SE,1,301,12,2015
CH,2,301,1,2016
US,3,301,1,2016
AR,1,301,1,2016
US,4,301,2,2016
BE,1,301,2,2016
CA,1,301,2,2016
US,4,301,3,2016
BE,1,301,3,2016
GB,2,301,3,2016
AD,1,301,7,2016
AF,1,301,7,2016
GP,1,301,8,2016
DE,1,301,8,2016
SE,1,301,8,2016
RU,1,301,8,2016
US,1,301,8,2016
LV,2,301,9,2016
US,3,301,9,2016
US,2,301,10,2016
GB,3,301,10,2016
CA,1,301,10,2016
US,2,301,11,2016
CA,1,301,11,2016
US,1,301,12,2016
CA,2,301,1,2017
US,1,301,1,2017
AT,1,301,1,2017
UA,2,301,1,2017
DK,1,301,1,2017
US,7,301,2,2017
TH,1,301,2,2017
CA,1,301,2,2017
IL,2,301,2,2017
FR,3,301,2,2017
SE,4,301,2,2017
US,2,301,3,2017
IT,3,301,4,2017
GB,3,301,5,2017
US,1,301,6,2017
BR,1,301,6,2017
GP,1,301,7,2017
VC,1,301,7,2017
FR,1,301,7,2017
US,2,301,8,2017
DO,1,301,9,2017
US,1,301,9,2017
BR,1,301,10,2017
US,2,301,10,2017
US,1,301,11,2017
TW,1,301,12,2017
US,1,301,12,2017
AU,1,21,11,2014
CA,2,21,12,2014
FR,1,21,12,2014
CA,1,21,1,2015
GB,1,21,1,2015
AR,3,21,1,2015
FR,1,21,1,2015
CH,1,21,2,2015
TH,4,21,2,2015
FR,2,21,3,2015
IT,1,21,3,2015
US,3,21,3,2015
GB,1,21,3,2015
GB,1,21,4,2015
CH,2,21,5,2015
US,1,21,5,2015
DE,1,21,6,2015
US,1,21,7,2015
IT,1,21,8,2015
FR,2,21,8,2015
AR,1,21,9,2015
IT,1,21,9,2015
AR,2,21,10,2015
IT,2,21,10,2015
DE,2,21,10,2015
CA,1,21,11,2015
NL,1,21,11,2015
FR,1,21,12,2015
IT,1,21,12,2015
US,2,21,12,2015
FR,1,21,1,2016
AR,3,21,1,2016
AR,1,21,2,2016
ES,1,21,2,2016
AR,1,21,3,2016
CL,1,21,3,2016
IT,1,21,3,2016
PF,1,21,3,2016
US,1,21,3,2016
GB,1,21,4,2016
AR,1,21,4,2016
FR,2,21,5,2016
US,1,21,5,2016
US,2,21,7,2016
SK,1,21,7,2016
DK,1,21,7,2016
FR,2,21,8,2016
GB,1,21,8,2016
BE,1,21,8,2016
IT,1,21,8,2016
ES,1,21,8,2016
AU,1,21,9,2016
AR,4,21,10,2016
DE,1,21,10,2016
US,2,21,11,2016
FR,2,21,11,2016
IT,1,21,11,2016
GB,1,21,12,2016
US,1,21,12,2016
IT,1,21,1,2017
FR,2,21,1,2017
US,2,21,1,2017
MX,4,21,1,2017
AR,4,21,2,2017
FR,2,21,2,2017
BR,1,21,2,2017
IT,2,21,2,2017
NZ,2,21,3,2017
US,1,21,3,2017
BR,2,21,3,2017
US,1,21,4,2017
US,2,21,5,2017
AR,2,21,5,2017
ES,1,21,6,2017
IT,1,21,6,2017
US,3,21,7,2017
AU,1,21,9,2017
FR,1,21,9,2017
AR,1,21,9,2017
CH,1,21,9,2017
US,1,21,9,2017
US,2,21,10,2017
AU,2,21,10,2017
UY,1,21,10,2017
NZ,1,21,10,2017
AR,1,21,10,2017
AR,1,21,11,2017
SI,1,21,11,2017
US,2,21,12,2017
AR,1,21,12,2017
NL,1,21,12,2017
CZ,1,21,12,2017
FR,1,21,12,2017
NC,1,21,12,2017
AU,2,21,1,2018
AR,2,21,1,2018
DZ,3,67,11,2014
TN,5,67,11,2014
DE,1,67,12,2014
AR,1,67,12,2014
DE,1,67,1,2015
RU,1,67,5,2015
