0,1,2,3,4
2149,1,299,10,2014
2198,2,80,10,2014
2083,5,80,10,2014
2149,1,80,11,2014
2682,5,80,11,2014
2099,1,80,11,2014
2198,4,80,11,2014
2690,3,80,11,2014
2142,1,80,11,2014
2855,2,80,11,2014
2627,1,80,11,2014
2222,1,80,11,2014
2347,1,80,11,2014
2252,1,80,11,2014
2267,1,80,11,2014
2100,1,80,12,2014
2198,1,80,12,2014
2347,1,80,1,2015
2855,1,80,1,2015
2252,2,80,1,2015
2252,1,80,2,2015
2177,1,80,2,2015
2100,1,80,2,2015
2160,1,80,2,2015
2198,1,80,3,2015
2267,1,80,3,2015
2222,1,80,3,2015
2142,1,80,4,2015
2198,3,80,4,2015
2094,9,80,4,2015
2252,1,80,4,2015
2198,1,80,5,2015
2718,1,80,5,2015
2115,1,80,5,2015
2177,1,80,5,2015
2252,4,80,6,2015
2097,1,80,6,2015
2347,2,80,6,2015
2347,2,80,7,2015
2142,3,80,7,2015
2252,2,80,7,2015
2222,1,80,7,2015
2198,1,80,8,2015
2100,1,80,9,2015
2252,1,80,9,2015
2252,3,80,10,2015
2252,1,80,11,2015
2252,3,80,1,2016
2115,1,80,1,2016
2252,2,80,2,2016
2252,3,80,3,2016
2115,2,80,3,2016
2718,1,80,4,2016
2115,1,80,4,2016
2222,1,80,5,2016
2206,1,80,5,2016
2083,1,80,6,2016
2855,1,80,6,2016
2252,3,80,6,2016
2177,1,80,6,2016
2686,1,80,6,2016
2494,1,80,12,2016
2347,2,80,1,2017
2252,1,80,2,2017
2252,1,80,3,2017
2494,1,80,3,2017
2142,2,80,3,2017
2252,1,80,4,2017
2549,1,80,5,2017
2718,2,80,7,2017
2115,1,80,7,2017
2252,2,80,7,2017
2494,1,80,7,2017
2252,1,80,8,2017
2252,1,80,10,2017
2083,1,60,10,2014
2682,3,60,11,2014
2085,2,60,11,2014
2690,10,60,11,2014
2097,1,60,11,2014
2221,1,60,11,2014
2142,2,60,11,2014
2177,1,60,11,2014
2083,3,60,11,2014
2097,1,60,12,2014
2700,1,60,1,2015
2198,1,60,4,2015
2094,2,60,4,2015
2083,1,60,4,2015
2085,1,60,5,2015
2160,1,60,8,2015
2083,1,60,5,2016
2198,1,60,6,2016
2252,1,60,7,2016
2097,1,60,3,2017
2347,1,60,8,2017
2682,1,60,11,2017
2347,1,299,10,2014
2198,1,299,12,2014
2718,3,299,12,2014
2097,1,299,12,2014
